name,rating,average_price,average _delivery_time,location,cuisine,phone,features
1000 BC,3.6,150,51,Kolkata,North Indian,+91 949-436-5633,"Live Music, Parking, WiFi, Outdoor Seating"
100N,4.1,50,55,Hyderabad,Fast Food,+91 957-458-4450,"Outdoor Seating, AC"
11 July Fine Dine Restaurant,3.8,150,39,Guwahati,North Indian,+91 932-351-3154,"Outdoor Seating, AC"
11 Spices Multi Cusine Restaurant,3.5,150,49,Hyderabad,Biryani,+91 738-533-9821,"Parking, WiFi"
11 Star Cakes,3.7,100,27,Meerut,Bakery,+91 950-562-1355,"Parking, Outdoor Seating"
11-11 Flash Back,4.2,150,25,Salem,Multicuisine,+91 815-727-4011,"AC, Live Music, Outdoor Seating"
11-11 The Food Station,4.1,100,28,Salem,Fast Food,+91 905-626-3541,"Home Delivery, Live Music, AC"
11th Avenue Cafe Bistro,3.7,400,48,Guwahati,Multicuisine,+91 792-439-9674,"Takeaway Available, AC, WiFi, Parking"
11th Avenue Cafe Bistro,4,150,53,Guwahati,Fast Food,+91 840-501-9680,"AC, Home Delivery"
11To11,4.4,100,25,Salem,Fast Food,+91 917-444-6489,"Home Delivery, Outdoor Seating, Parking, Live Music"
1211 Pizza Point,4,150,45,Lucknow,Fast Food,+91 825-410-7680,"WiFi, AC, Outdoor Seating, Live Music"
12-3 AM Biryani,3.1,200,28,Vijayawada,"North Indian, Fast Food, Street Food",+91 834-888-9675,"Outdoor Seating, Parking, Home Delivery, WiFi"
13 Shawarma,4,150,30,Mumbai,Fast Food,+91 744-445-5583,"Home Delivery, Outdoor Seating, Live Music, AC"
143 Cake House,3.8,100,28,Jalandhar,Bakery,+91 880-377-7444,"Live Music, Parking, Takeaway Available, Home Delivery"
1441 Pizzeria,3.8,100,39,Surat,Multicuisine,+91 833-342-3872,"Takeaway Available, Home Delivery, AC"
1441 Pizzeria,3.8,150,36,Pune,Fast Food,+91 938-392-9810,"Parking, Takeaway Available, Outdoor Seating"
1441 Pizzeria,4,100,30,Mumbai,Fast Food,+91 751-430-6201,"Outdoor Seating, Parking"
14Greens,3.9,200,35,Lucknow,North Indian,+91 806-881-2733,"Outdoor Seating, WiFi"
15 A.D.,4.5,150,22,Jodhpur,Fast Food,+91 983-873-2117,"Outdoor Seating, WiFi, Home Delivery"
17 Degree City Centre,4.3,200,32,Dhanbad,"North Indian, Street Food",+91 976-439-3490,"Parking, Outdoor Seating"
17 Degrees,4.1,100,39,Patna,North Indian,+91 838-511-4604,"Home Delivery, Parking, WiFi"
17 Degrees Hotel,4.1,150,41,Dhanbad,North Indian,+91 943-574-9094,"Home Delivery, AC, Live Music"
17 Sector,4.3,100,34,Jalandhar,Multicuisine,+91 822-653-2257,"Takeaway Available, WiFi, Outdoor Seating, Live Music"
18 Degree Icecream Zone,4.3,200,23,Trichy,Multicuisine,+91 973-441-8033,"Live Music, Parking, Takeaway Available, AC"
1857 City Cafe,4.1,100,30,Meerut,"North Indian, Fast Food",+91 778-544-5833,"Takeaway Available, WiFi, Outdoor Seating, Home Delivery"
19 Mini Pancakes,4.1,100,37,Puducherry,Multicuisine,+91 975-356-3376,"Live Music, Takeaway Available"
1944 -The HOCCO Kitchen,4.2,150,28,Ajmer,"North Indian, Fast Food",+91 779-858-3424,"Parking, WiFi, Takeaway Available, Live Music"
1944 -The HOCCO Kitchen,4.3,100,23,Ahmedabad,"North Indian, Fast Food",+91 816-323-8624,"Home Delivery, Parking, Takeaway Available, WiFi"
1947,4.4,200,48,Bangalore,"North Indian, Street Food, Biryani",+91 758-622-9359,"AC, WiFi, Outdoor Seating"
1947 Food Nation,3.6,150,40,Nellore,South Indian,+91 700-198-3667,"AC, Home Delivery, WiFi"
1947 Restaurant,3.3,100,17,Moradabad,"South Indian, North Indian",+91 887-795-1559,"Parking, AC"
1952 A Food Story,4.1,150,28,Jodhpur,North Indian,+91 730-834-6796,"Live Music, Parking"
1968 Veg Restaurant - Hotel Manorama,3.8,250,27,Vijayawada,"South Indian, North Indian, Biryani",+91 831-640-1195,"Parking, AC, Takeaway Available, WiFi"
1989 Milkshakes,4.2,100,37,Hyderabad,Fast Food,+91 976-283-2590,"Home Delivery, WiFi, AC, Takeaway Available"
1989 Pizza & Thick Shake's,4,200,41,Hyderabad,Fast Food,+91 856-285-6556,"WiFi, Takeaway Available, Live Music"
1C Dining,3.8,100,43,Coimbatore,"South Indian, North Indian, Biryani",+91 803-526-2450,"Takeaway Available, AC"
2 Bros Pizza & Resto,3.4,200,56,Bareilly,Multicuisine,+91 991-206-9674,"WiFi, Parking"
2 Bross Pizza Cafe,3.5,150,28,Aligarh,Fast Food,+91 964-727-4348,"Takeaway Available, AC, Home Delivery"
2 K,4,150,44,Salem,Fast Food,+91 951-100-8856,"Home Delivery, Takeaway Available, AC, Outdoor Seating"
2 Kaudi Ki Chai,4,100,33,Kanpur,Street Food,+91 951-518-9449,"Parking, Home Delivery"
2 Slices,4,250,23,Raipur,North Indian,+91 815-730-4720,"Outdoor Seating, Live Music, Home Delivery, AC"
2 Square,4.3,100,29,Vellore,Multicuisine,+91 913-475-4455,"Live Music, WiFi, Takeaway Available"
2 States,3.5,100,36,Mysore,"South Indian, North Indian, Street Food, Biryani",+91 764-660-7783,"Home Delivery, AC"
21 Baker Street,3.2,100,38,Indore,Fast Food,+91 834-563-2818,"Takeaway Available, WiFi"
21st Century Bakery,3.9,200,31,Jodhpur,Fast Food,+91 928-984-7929,"Live Music, WiFi"
21st Fast Food,3.9,400,30,Jodhpur,Fast Food,+91 780-685-9323,"Live Music, Parking, Takeaway Available"
22 Constanzaa,4.4,200,46,Chennai,Multicuisine,+91 830-414-5272,"Outdoor Seating, Takeaway Available, WiFi, Parking"
22 Food Point,3.5,350,38,Ludhiana,Fast Food,+91 743-190-8331,"Home Delivery, WiFi, Outdoor Seating"
221B Shakes,4,500,35,Coimbatore,Fast Food,+91 775-244-7499,"Outdoor Seating, Home Delivery"
22B The Resort,3.9,200,25,Meerut,"North Indian, Fast Food",+91 935-118-3611,"Takeaway Available, Outdoor Seating, Home Delivery"
22G Nutri Kulche Wale,4.1,250,18,Jalandhar,"North Indian, Street Food",+91 931-133-2082,"AC, WiFi, Parking, Takeaway Available"
22nd Parallel,4,200,31,Rajkot,South Indian,+91 958-372-7685,"AC, Home Delivery, Live Music"
23 Fusion Momos,4.2,150,41,Dharamshala,Multicuisine,+91 712-352-4333,"AC, Home Delivery, Takeaway Available"
24 Carats Mithai Magic,4.4,100,24,Surat,Multicuisine,+91 798-539-1893,"Takeaway Available, Outdoor Seating, Parking, WiFi"
24 Hours Bakery Shop,3.7,200,35,Indore,Bakery,+91 830-241-5102,"Home Delivery, WiFi, Outdoor Seating"
24 Royal Chinese Cafe,3.6,100,37,Vadodara,Multicuisine,+91 822-805-7217,"Parking, WiFi"
24/2 Maggi Villa,4,200,31,Meerut,Fast Food,+91 890-767-8066,"WiFi, Outdoor Seating"
24/7 Food Ex,3.9,50,31,Bhopal,"North Indian, Fast Food, Street Food, Biryani",+91 706-922-8537,"Home Delivery, Live Music, Parking"
24Seven,4,250,42,NCR,"North Indian, Fast Food, Street Food",+91 916-542-7759,"AC, Takeaway Available, Live Music, Parking"
24Seven,4,250,44,Delhi NCR,"North Indian, Fast Food, Street Food",+91 890-416-2120,"Live Music, Outdoor Seating, AC"
25 Rice Bowls,4.3,350,27,Ludhiana,North Indian,+91 884-676-5798,"WiFi, Outdoor Seating, Live Music, AC"
28 Street Jam Cafe,3.6,200,43,Guwahati,Fast Food,+91 865-823-1610,"Parking, WiFi, Takeaway Available, AC"
29 States,3.4,150,24,Bhopal,North Indian,+91 860-362-5867,"Home Delivery, Parking, AC"
2ND Wife,4.2,250,28,Agra,"North Indian, Fast Food",+91 889-218-3062,"WiFi, AC, Live Music, Home Delivery"
2o2 Di Restro Cafe,3.9,150,37,Indore,"North Indian, Fast Food",+91 950-821-6083,"Home Delivery, Live Music, Takeaway Available"
3 Coins,4.4,450,30,Nellore,Multicuisine,+91 731-246-3331,"Home Delivery, WiFi, AC"
3 Hill Cart Road- Jhale Jhole Ambole,4.2,100,34,Siliguri,Multicuisine,+91 788-704-6574,"WiFi, Takeaway Available"
3 K Resorts,3.8,400,43,Ludhiana,"North Indian, Biryani",+91 809-831-3258,"Live Music, AC, Home Delivery"
3 Mom's Kitchen,4.3,50,38,Indore,North Indian,+91 766-914-2508,"Home Delivery, AC, WiFi"
3 Monkey's Cafe,4.1,150,32,Coimbatore,Fast Food,+91 757-849-2002,"Home Delivery, Parking"
3 Not 3 Ice Cream Cafe,4.2,200,25,Chandigarh,Multicuisine,+91 978-405-5159,"Takeaway Available, Parking, AC, Live Music"
3 Peg Bar & Restaurant,4,250,19,Jamshedpur,Multicuisine,+91 980-278-8863,"Outdoor Seating, Home Delivery, Takeaway Available, WiFi"
3 Star Bakery,4.5,150,37,Warangal,"Fast Food, Bakery",+91 870-884-4448,"Home Delivery, AC, Live Music"
3 Star Sweets Bakery Restaurant,4.3,100,35,Warangal,"Fast Food, Bakery",+91 759-206-8959,"Live Music, Home Delivery, Outdoor Seating, WiFi"
3 Story,4,100,40,Surat,"North Indian, Fast Food",+91 992-938-6804,"Live Music, Outdoor Seating, Parking"
3 Way Adda,3.5,250,42,Guwahati,Street Food,+91 938-940-2670,"Live Music, Outdoor Seating"
3 Way Point,3.9,250,48,Guwahati,Biryani,+91 982-623-8916,"Parking, AC"
3 Way Restaurant & Cafe,3.4,250,37,Allahabad,Multicuisine,+91 921-985-6382,"Parking, WiFi"
30 Cordon Bleu,4.3,100,31,Dehradun,"North Indian, Fast Food",+91 962-453-4602,"Outdoor Seating, Takeaway Available"
'-301°F! & Urban Waffle,4,100,40,Ranchi,Multicuisine,+91 862-787-6287,"Parking, Outdoor Seating, Home Delivery, WiFi"
31 Burgers,3.4,150,24,Lucknow,Fast Food,+91 871-604-4134,"AC, Live Music, WiFi, Takeaway Available"
33 Eat Street,2.9,200,37,Guwahati,Biryani,+91 789-278-7818,"Home Delivery, Parking, AC"
33 Park Street By Junction,4.1,150,27,Jamshedpur,"North Indian, Biryani",+91 855-998-8719,"WiFi, Takeaway Available, Live Music"
34 Chowringhee Lane,3.7,100,39,Bhopal,Multicuisine,+91 938-471-2579,"Live Music, WiFi, Outdoor Seating, AC"
34 Chowringhee Lane,3.7,150,46,Delhi NCR,Fast Food,+91 838-945-3809,"Takeaway Available, Parking"
34 Chowringhee Lane,3.7,300,37,NCR,Fast Food,+91 874-705-4905,"Live Music, Home Delivery, AC"
34 Chowringhee Lane,3.8,100,30,Chandigarh,Multicuisine,+91 950-554-5720,"Parking, AC"
34 Chowringhee Lane,3.8,150,37,Ludhiana,Multicuisine,+91 936-937-4313,"Home Delivery, WiFi, Live Music"
34 Chowringhee Lane,3.9,200,27,Dehradun,Multicuisine,+91 831-419-9085,"Live Music, WiFi"
34 Chowringhee Lane,4.2,100,46,Rishikesh,Fast Food,+91 812-579-6448,"AC, Live Music, Home Delivery, Parking"
34 Stairs,4.2,150,29,Allahabad,"South Indian, North Indian",+91 724-870-6603,"AC, Outdoor Seating"
34th August,3.5,250,30,Jalandhar,Multicuisine,+91 850-109-9883,"Home Delivery, Live Music"
36 China Town,3.3,250,23,Amravati,Multicuisine,+91 982-291-5787,"AC, Live Music, Outdoor Seating"
36 China Town,3.7,10,41,NCR,Multicuisine,+91 737-676-8748,"Outdoor Seating, WiFi"
37 Street Affair,4.1,250,55,Guwahati,"North Indian, Fast Food",+91 917-988-7758,"AC, Live Music"
37 The Central,4.3,300,44,Shimla,"North Indian, Fast Food, Biryani",+91 836-986-6737,"Live Music, Outdoor Seating"
38 Street,4.1,100,27,Chandigarh,Fast Food,+91 963-665-6713,"Takeaway Available, AC, WiFi"
3B Tea,3.5,150,29,Vadodara,Multicuisine,+91 720-371-2803,"Outdoor Seating, Live Music"
3C's Cafe,4,100,29,Agra,Fast Food,+91 864-112-1999,"Home Delivery, Takeaway Available"
3C's Shake Time,4,150,30,Agra,Multicuisine,+91 866-286-5828,"Parking, WiFi, AC"
3D FoodZ,4,250,23,Amritsar,"North Indian, Fast Food",+91 828-422-9055,"Parking, Takeaway Available"
3Monkeys,4,250,45,Dehradun,"North Indian, Fast Food, Biryani",+91 795-974-6086,"Live Music, Takeaway Available, Outdoor Seating"
3rd Milestone Restaurant,4,150,37,Meerut,"North Indian, Fast Food",+91 860-842-5595,"Takeaway Available, Parking"
3Seventy Bistro,4.2,200,47,Surat,Fast Food,+91 987-826-6810,"Outdoor Seating, Live Music, Takeaway Available"
3Seventy Kitchen,4.2,150,38,Surat,North Indian,+91 838-227-1217,"AC, Outdoor Seating"
3T Foodrinks,4,100,37,Patna,"North Indian, Fast Food, Biryani",+91 850-960-3594,"Parking, WiFi"
4 Chef - AIIMS,4.3,100,33,Rishikesh,"North Indian, Fast Food",+91 821-331-2883,"Parking, AC, Home Delivery"
4 Chef Cafe & Snack Bar,3.5,100,35,Rishikesh,"South Indian, North Indian, Street Food",+91 776-251-2253,"WiFi, Parking, Takeaway Available, Outdoor Seating"
4 Chili's Kitchen,4.1,300,36,Hyderabad,"North Indian, Biryani",+91 931-814-7683,"AC, Home Delivery, WiFi"
4 Mealer,4.1,200,43,Lucknow,Fast Food,+91 848-405-4459,"Live Music, AC, Outdoor Seating"
4 Seasons,4.1,350,65,Hyderabad,"North Indian, Biryani",+91 920-704-7414,"Live Music, Home Delivery, Takeaway Available, AC"
4 seasons - The Cafe Restro,4,150,42,Guwahati,North Indian,+91 715-663-8819,"AC, Takeaway Available, WiFi, Parking"
4 Seasons Bakery & Restaurant,4.3,200,19,Visakhapatnam,"North Indian, Biryani, Bakery",+91 814-393-5018,"Home Delivery, Live Music"
4 Ways Cafe & Pizza,4,200,41,Chandigarh,Fast Food,+91 950-557-8751,"WiFi, Takeaway Available, Parking"
40 Indian Thalis(PAU),3.8,150,34,Ludhiana,North Indian,+91 868-628-1751,"Live Music, Home Delivery"
47 South Tangra Road,4.2,100,52,Kolkata,Multicuisine,+91 996-785-1748,"Parking, WiFi"
48 Deg.C,4.3,250,38,Nagpur,Fast Food,+91 825-540-5886,"Outdoor Seating, Live Music, Home Delivery"
4M Biryani House,3.1,200,26,Vijayawada,Biryani,+91 911-913-5851,"Takeaway Available, Home Delivery, AC, Outdoor Seating"
4M Biryani House,4.2,350,49,Hyderabad,"North Indian, Biryani",+91 988-366-6634,"WiFi, AC, Home Delivery, Live Music"
4M Kitchen,3.7,200,43,Surat,North Indian,+91 938-874-3647,"Live Music, WiFi"
4th Street Dining Hall,4.3,100,46,Kolkata,Multicuisine,+91 766-219-9346,"WiFi, Home Delivery"
5 Flavours Restaurant & Cafe,3.5,200,22,Ajmer,"North Indian, Fast Food",+91 890-109-3415,"Parking, Live Music, Takeaway Available"
5 Heads Resto Cafe,3.2,250,29,Visakhapatnam,"Fast Food, Bakery",+91 860-519-4326,"Outdoor Seating, Live Music, Home Delivery"
5 Shots Bistro Cafe,3.1,100,37,Coimbatore,Fast Food,+91 786-163-8519,"Takeaway Available, Parking, Home Delivery"
5 Shots The Juice Bar,4.1,100,27,Salem,Fast Food,+91 916-288-4261,"Takeaway Available, Home Delivery"
5 Spice,3.8,100,39,Mumbai,Multicuisine,+91 823-398-3752,"Takeaway Available, AC, Parking, WiFi"
5 Star Canteen,4,150,24,Goa,North Indian,+91 811-558-9217,"Home Delivery, Live Music, AC, Outdoor Seating"
5 Star Diamond Classic Pizza,4.1,250,34,Saharanpur,Fast Food,+91 718-653-3879,"Takeaway Available, WiFi"
5 Star Momos,3.7,150,41,Guwahati,Multicuisine,+91 837-785-9056,"Takeaway Available, Live Music, Outdoor Seating, WiFi"
5 Star Pizza,3.6,350,42,Gorakhpur,Multicuisine,+91 917-588-8717,"Parking, WiFi"
50 Ml Bar,4,150,34,Kanpur,"North Indian, Biryani",+91 786-626-2987,"Home Delivery, AC, Live Music, Outdoor Seating"
50 Shades Of Food,3.6,100,44,Kolkata,Fast Food,+91 905-436-5617,"Outdoor Seating, WiFi, Live Music, Parking"
50+ Burger,3.4,150,43,Chennai,Multicuisine,+91 922-134-2459,"AC, Takeaway Available, Parking"
53 Cafe House,4,100,33,Patna,"North Indian, Fast Food, Biryani",+91 774-595-4913,"Takeaway Available, Outdoor Seating, AC, Home Delivery"
55 Bistro,4,150,33,Nellore,"North Indian, Biryani",+91 895-454-4323,"WiFi, Takeaway Available, Home Delivery"
56 Rajwade Cafe & Restaurant,3.7,200,41,Jabalpur,"North Indian, Fast Food",+91 808-631-5352,"WiFi, Outdoor Seating, Home Delivery, AC"
6 Ballygunge Place,4.3,200,44,Kolkata,Multicuisine,+91 889-266-2115,"Live Music, AC, Parking, WiFi"
6 Ballygunge Place Take Away,4.4,50,26,Kolkata,Multicuisine,+91 939-281-9488,"Home Delivery, Takeaway Available, WiFi"
6 Ballygunge Place Takeaway,4.2,100,45,Kolkata,North Indian,+91 754-544-5188,"Parking, Live Music, Takeaway Available"
6 Ballygunge Place Thali,4.2,150,51,Kolkata,Fast Food,+91 866-254-9093,"Parking, Outdoor Seating, AC"
6 One Restaurant,4,200,38,Darbhanga,North Indian,+91 843-601-5190,"Outdoor Seating, Parking, Live Music, Takeaway Available"
60 ML,3.8,150,39,Indore,"North Indian, Biryani",+91 975-327-1303,"Home Delivery, WiFi"
65 Corner Fast Food,4.1,150,32,Hyderabad,Multicuisine,+91 888-746-1197,"Parking, WiFi, AC, Live Music"
666 Cafe,3.3,250,33,Jalandhar,Multicuisine,+91 933-941-7374,"Takeaway Available, Outdoor Seating, Home Delivery, WiFi"
7 Art's Of Swad,4,250,21,Bhavnagar,"North Indian, Street Food",+91 798-249-2353,"Outdoor Seating, Home Delivery, Parking, WiFi"
7 Bakes,4.3,150,37,Mangalore,Fast Food,+91 841-318-1090,"WiFi, Home Delivery, Parking"
7 Cheese Pizza,4.1,200,38,Dehradun,Fast Food,+91 815-764-2886,"Home Delivery, Parking"
7 Coffee Beans,4.3,100,20,Guntur,Street Food,+91 851-347-1931,"Home Delivery, Parking, AC"
7 Colour's Kabab Hut,4,250,26,Patna,"North Indian, Biryani",+91 740-880-4060,"Home Delivery, Outdoor Seating, Takeaway Available"
7 Days,3.5,150,40,Patna,"North Indian, Fast Food",+91 765-126-4644,"Home Delivery, Outdoor Seating"
7 Days Pure Veg Restaurant,3.7,400,46,Nagpur,"South Indian, North Indian, Fast Food, Street Food",+91 824-405-7746,"Takeaway Available, AC, Live Music"
7 Degree Lounge,3.9,600,32,Kanpur,"North Indian, Fast Food, Biryani",+91 874-767-2617,"AC, Home Delivery"
7 Eleven Fried Chicken,4,100,46,Trichy,Fast Food,+91 968-527-9136,"Outdoor Seating, Takeaway Available"
7 Heaven Restro,4,100,37,Allahabad,"North Indian, Biryani",+91 850-527-3508,"WiFi, Parking, Live Music"
7 Sisters,4.1,300,51,Hyderabad,Multicuisine,+91 704-967-8315,"Outdoor Seating, Parking"
7 Spice,4.1,350,31,Mumbai,Multicuisine,+91 982-693-8189,"Parking, Live Music, Outdoor Seating, AC"
7 Spicery,4,150,38,Lucknow,North Indian,+91 850-574-3308,"Parking, Home Delivery, AC, Outdoor Seating"
7 Spices,4.1,150,24,Ajmer,"North Indian, Biryani",+91 912-989-6397,"Live Music, WiFi, Outdoor Seating"
7 Spices Restaurant,4.1,250,41,Kota,North Indian,+91 840-900-6966,"Outdoor Seating, AC, WiFi, Parking"
7 Star Dhaba,4.1,150,33,Ajmer,"North Indian, Fast Food",+91 753-382-6030,"Home Delivery, WiFi, Takeaway Available, Parking"
7/12 Fried Ice Cream,3,100,59,Kolkata,Multicuisine,+91 942-607-2372,"AC, WiFi, Parking, Live Music"
7/12 Fried Ice Cream Parlour,3,100,61,Kolkata,Fast Food,+91 992-751-2090,"AC, Takeaway Available, Live Music, WiFi"
70 Percent Diet,4.4,150,37,Dehradun,Multicuisine,+91 805-688-2433,"AC, Home Delivery, Takeaway Available"
70 Percent Restro Cafe,4.3,250,42,Dehradun,"North Indian, Fast Food, Street Food",+91 930-621-5044,"Parking, AC"
78 Degrees Cafe & Restro,3.6,150,40,Bhopal,"North Indian, Fast Food",+91 725-323-1579,"Parking, WiFi, Takeaway Available"
78 Singh,3.9,200,29,Jaipur,"North Indian, Fast Food, Street Food",+91 752-543-9643,"Live Music, Home Delivery"
786 Biryani,4.1,350,17,Vijayawada,Biryani,+91 968-999-1131,"Takeaway Available, WiFi, Home Delivery, Parking"
786 Chicken & Biryani Center Chacha Ki Dukan,3.8,150,19,Raipur,"Street Food, Biryani",+91 819-370-4673,"Home Delivery, WiFi, AC, Parking"
7th Cloud Restaurant,4.2,300,45,Indore,"North Indian, Fast Food, Biryani",+91 873-693-8216,"Live Music, WiFi"
7th Heaven,3.3,100,25,Jalandhar,"Fast Food, Bakery",+91 841-843-3884,"Outdoor Seating, AC, WiFi, Parking"
7th Heaven,3.3,200,49,Motihari,Bakery,+91 979-756-4281,"AC, Live Music, Takeaway Available"
7th Heaven,3.4,150,29,Raipur,Bakery,+91 814-144-1574,"Home Delivery, WiFi"
7th Heaven,3.4,300,36,Darbhanga,"Fast Food, Bakery",+91 819-215-9920,"Outdoor Seating, AC, Live Music"
7th Heaven,3.6,300,16,Mumbai,Bakery,+91 773-718-4909,"WiFi, Parking, Outdoor Seating, Takeaway Available"
7th Heaven,3.7,100,14,Rajkot,Bakery,+91 789-996-3255,"Parking, WiFi, Home Delivery, Takeaway Available"
7th Heaven,3.7,200,22,Amritsar,"Fast Food, Bakery",+91 701-632-9757,"Home Delivery, Parking, Takeaway Available"
7th Heaven,3.8,200,18,Jhansi,"Fast Food, Bakery",+91 981-553-1032,"Live Music, Outdoor Seating, WiFi"
7th Heaven,3.8,200,37,Patna,Bakery,+91 970-891-2612,"Takeaway Available, Parking"
7th Heaven,3.9,50,40,Darbhanga,Bakery,+91 788-259-6220,"Outdoor Seating, Home Delivery"
7th Heaven,3.9,100,24,Firozabad,Fast Food,+91 955-626-2225,"Live Music, Parking, Takeaway Available, Home Delivery"
7th Heaven,3.9,250,39,Siliguri,Bakery,+91 910-876-7112,"Home Delivery, Live Music, Takeaway Available, Parking"
7th Heaven,4,100,21,Vijayawada,Bakery,+91 871-551-4607,"Live Music, Parking, AC"
7th Heaven,4,100,36,Haridwar,Fast Food,+91 840-503-9413,"Takeaway Available, AC, Outdoor Seating, Live Music"
7th Heaven,4,200,44,Kolkata,"Fast Food, Bakery",+91 998-486-3780,"Parking, Outdoor Seating"
7th Heaven,4.1,50,33,Jamshedpur,Bakery,+91 940-280-8627,"Parking, WiFi, Home Delivery"
7th Heaven,4.1,150,41,Ludhiana,"Fast Food, Bakery",+91 777-819-5321,"Live Music, Takeaway Available, WiFi, AC"
7th Heaven,4.2,100,29,Lucknow,Bakery,+91 983-778-4262,"Home Delivery, AC, Outdoor Seating, WiFi"
7th Heaven,4.2,200,24,Bareilly,Bakery,+91 744-391-5936,"Home Delivery, Live Music"
7th Heaven,4.2,200,31,Varanasi,"Fast Food, Bakery",+91 841-347-8109,"Live Music, AC, Home Delivery, Outdoor Seating"
7th Heaven,4.2,250,19,Patna,"Fast Food, Bakery",+91 902-208-4292,"Home Delivery, Parking, Takeaway Available"
7th Heaven,4.3,150,19,Cuttack,Bakery,+91 934-492-6332,"Parking, Live Music, WiFi"
7th Heaven,4.3,150,34,Jhansi,Bakery,+91 957-785-8462,"Parking, Home Delivery"
7th Heaven,4.3,300,23,Manipal,Bakery,+91 751-988-7403,"Takeaway Available, Parking"
7th Heaven - A Slice of Happiness,4,100,37,Mangalore,Multicuisine,+91 851-106-4632,"Home Delivery, WiFi, AC, Live Music"
7th Heaven - A Slice of Happiness,4.3,200,31,Manipal,"Fast Food, Bakery",+91 765-449-6730,"Takeaway Available, AC, Live Music"
7th Heaven - A Slice of Happiness,4.4,100,38,Mangalore,Bakery,+91 838-104-9543,"Live Music, Home Delivery, Outdoor Seating, Takeaway Available"
7th Heaven Bakery,4.3,150,24,Visakhapatnam,"Fast Food, Bakery",+91 736-614-6903,"Parking, Takeaway Available, WiFi"
7th Heaven Cafe,3.9,150,23,Jhansi,"Fast Food, Bakery",+91 700-395-4290,"AC, Live Music, WiFi"
7th Heaven Cafe & Lounge,3.4,100,35,Jhansi,Fast Food,+91 706-582-4048,"Live Music, Parking, Home Delivery"
7th Heaven Cake Shop,4.2,200,31,Coimbatore,"Fast Food, Bakery",+91 932-734-6273,"Live Music, Parking, WiFi"
7th Heaven Cake Shop,4.2,200,43,Pune,Bakery,+91 835-948-3081,"Live Music, WiFi"
7th Heaven Cake Shop,4.3,400,32,Patna,Bakery,+91 898-400-5279,"WiFi, Parking, AC"
7th Heaven Restaurant,3,200,33,Gaya,"North Indian, Fast Food, Street Food",+91 972-208-7557,"AC, Home Delivery, Outdoor Seating, WiFi"
